"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","logh","logh1","logmass","x","y","status","domestication","clade"
"4865","Philantomba walteri","walteri","Philantomba",4,34,3,4,0,11,2,0.182,1,1,128386,"Bovidae","Artiodactyla",NA,NA,"Yes",6.9909575,"Data Deficient","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,NA,2.33442474049505,7.67110293456822,NA,"Wild","Laurasiatheria"
"4866","Philetor brachypterus","brachypterus","Philetor",3,37,3,2,1,9,3,0.333,2,2,546477,"Vespertilionidae","Chiroptera",10.93,1,"Yes",9.561315,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,1.0386201619497,123.216875796993,11.2531390482173,NA,"Wild","Laurasiatheria"
"4867","Phloeomys cumingi","cumingi","Phloeomys",3,19,3,3,0,33,2,0.061,0,0,1018294,"Muridae","Rodentia",1946.33,1,"Yes",15.75905,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,3.28921647674869,124.000000000001,13.002014968963,NA,"Wild","Euarchontoglires"
"4868","Phloeomys pallidus","pallidus","Phloeomys",0,0,0,0,0,NA,0,0,0,0,3608726,"Muridae","Rodentia",1744.14,1,"Yes",16.162,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,3.24158134228645,120.999999999999,16.0100146374083,NA,"Wild","Euarchontoglires"
"4869","Phoca byronia","byronia","Phoca",0,0,0,0,0,NA,0,0,0,0,6145558,"Phocidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"4870","Phoca fasciata","fasciata","Phoca",41,940,27,37,1,61,16,0.262,21,4,664065,"Phocidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20411998265592,1.23044892137827,NA,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"4871","Phoca groenlandica","groenlandica","Phoca",544,12498,191,518,13,58,50,0.862,345,7,664062,"Phocidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69897000433602,1.70757017609794,NA,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"4872","Phoca largha","largha","Phoca",140,1863,85,0,0,45,22,0.489,48,8,89833,"Phocidae","Carnivora",150000,1,"Yes",66.2559845328336,"Least Concern","food_human","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34242268082221,1.36172783601759,5.17609125905568,-167.29619833978,63.4496866662582,"sibling_higher","Wild","Laurasiatheria"
"4873","Phocarctos hookeri","hookeri","Phocarctos",160,3034,68,141,4,49,32,0.653,92,8,949672,"Otariidae","Carnivora",112300,1,"Yes",-46.1906645,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50514997831991,1.51851393987789,5.05037975626146,169.523813192239,-49.8872110896689,NA,"Wild","Laurasiatheria"
"4874","Phoca wymani","wymani","Phoca",0,0,0,0,0,NA,0,0,0,0,7656070,"Phocidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"4875","Phocoena dioptrica","dioptrica","Phocoena",13,305,11,11,0,44,7,0.159,6,1,423943,"Phocoenidae","Cetacea",65000,1,"Yes",-51.068611,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.903089986991944,4.81291335664286,-68.9805087361562,-53.4895656500099,NA,"Wild","Laurasiatheria"
"4876","Phocoena sinus","sinus","Phocoena",89,2044,55,68,5,50,24,0.48,48,8,1089663,"Phocoenidae","Cetacea",42500,1,"Yes",31.591667,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38021124171161,1.39794000867204,4.62838893005031,-114.338200017579,31.6866644863945,NA,"Wild","Laurasiatheria"
"4877","Phocoena spinipinnis","spinipinnis","Phocoena",47,1194,25,43,1,33,22,0.667,29,2,548141,"Phocoenidae","Cetacea",60000,1,"Yes",-13.883335,NA,"food_animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34242268082221,1.36172783601759,4.77815125038364,-70.9999999999998,-24.1405916335776,NA,"Wild","Laurasiatheria"
"4878","Phodopus campbelli","campbelli","Phodopus",136,2230,66,131,1,34,26,0.765,63,3,136847,"Cricetidae","Rodentia",23.4,1,"Yes",47.08,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41497334797082,1.43136376415899,1.36921585741014,93.8487842131964,48.2473141003121,NA,"Partially-domesticated","Euarchontoglires"
"4879","Phodopus roborovskii","roborovskii","Phodopus",74,497,54,69,0,39,11,0.282,13,4,9032,"Cricetidae","Rodentia",18.75,1,"Yes",44.96,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04139268515822,1.07918124604762,1.27300127206374,100.400477708316,45.4969956658906,NA,"Partially-domesticated","Euarchontoglires"
"4880","Phodopus sungorus","sungorus","Phodopus",837,20141,261,812,10,54,68,1.259,501,11,764831,"Cricetidae","Rodentia",33.75,1,"Yes",52.7025,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83250891270624,1.83884909073726,1.52827377716704,105,38.0272909449615,NA,"Partially-domesticated","Euarchontoglires"
"4881","Phoniscus aerosa","aerosa","Phoniscus",1,10,1,0,0,56,1,0.018,1,0,3613694,"Vespertilionidae","Chiroptera",5.23,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,0.718501688867274,NA,NA,NA,"Wild","Laurasiatheria"
"4882","Phoniscus atrox","atrox","Phoniscus",3,31,3,2,1,15,2,0.133,2,1,3613695,"Vespertilionidae","Chiroptera",4.81,1,"Yes",5.19511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,0.682145076373832,102,5.00076357997974,NA,"Wild","Laurasiatheria"
"4883","Phoniscus jagorii","jagorii","Phoniscus",1,14,1,0,1,15,1,0.067,1,0,25394,"Vespertilionidae","Chiroptera",4.7,1,"Yes",17.55,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,0.672097857935718,104.335562056926,15.6757927476774,NA,"Wild","Laurasiatheria"
"4884","Phoniscus papuensis","papuensis","Phoniscus",11,150,9,11,0,27,8,0.296,7,0,3613696,"Vespertilionidae","Chiroptera",6.32,1,"Yes",-30.081376,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,0.954242509439325,0.800717078282385,150.999339250872,-30.1903507414505,NA,"Wild","Laurasiatheria"
"4885","Phylloderma stenops","stenops","Phylloderma",10,44,7,10,0,20,4,0.2,1,1,792612,"Phyllostomidae","Chiroptera",53.68,1,"Yes",4.283,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,1.72981250716094,-69.4625604865621,4.54554160735479,NA,"Wild","Laurasiatheria"
"4886","Phyllomys blainvillii","blainvillii","Phyllomys",0,0,0,0,0,NA,0,0,0,0,739188,"Echimyidae","Rodentia",243.3,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,2.38614210893082,NA,NA,NA,"Wild","Euarchontoglires"
"4887","Phyllomys brasiliensis","brasiliensis","Phyllomys",0,0,0,0,0,NA,0,0,0,0,739184,"Echimyidae","Rodentia",312.49,1,"Yes",-19.634701,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,2.49483612403431,-43,-19,NA,"Wild","Euarchontoglires"
"4888","Phyllomys dasythrix","dasythrix","Phyllomys",4,143,4,4,0,30,3,0.1,3,0,215384,"Echimyidae","Rodentia",260,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,2.41497334797082,NA,NA,NA,"Wild","Euarchontoglires"
"4889","Phyllomys kerri","kerri","Phyllomys",1,1,1,1,0,3,1,0.333,0,1,3609828,"Echimyidae","Rodentia",298.33,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,2.47469692811683,NA,NA,NA,"Wild","Euarchontoglires"
"4890","Phyllomys lamarum","lamarum","Phyllomys",9,118,9,8,1,10,5,0.5,4,2,215382,"Echimyidae","Rodentia",215.19,1,"Yes",-11.78386,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.778151250383644,2.3328220855551,-42.9999999999999,-17.0026683611809,NA,"Wild","Euarchontoglires"
"4891","Phyllomys lundi","lundi","Phyllomys",0,0,0,0,0,NA,0,0,0,0,215389,"Echimyidae","Rodentia",298.33,0,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,2.47469692811683,NA,NA,NA,"Wild","Euarchontoglires"
"4892","Phyllomys mantiqueirensis","mantiqueirensis","Phyllomys",0,0,0,0,0,NA,0,0,0,0,739197,"Echimyidae","Rodentia",298.33,0,"Yes",NA,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,2.47469692811683,NA,NA,NA,"Wild","Euarchontoglires"
"4893","Phyllomys medius","medius","Phyllomys",0,0,0,0,0,NA,0,0,0,0,3609826,"Echimyidae","Rodentia",298.33,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,2.47469692811683,NA,NA,NA,"Wild","Euarchontoglires"
"4894","Phyllomys nigrispinus","nigrispinus","Phyllomys",1,3,1,1,0,3,1,0.333,0,1,215387,"Echimyidae","Rodentia",224.3,1,"Yes",-24.125,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,2.35082927358297,-47.9999999999999,-25.004069885944,NA,"Wild","Euarchontoglires"
"4895","Phyllomys pattoni","pattoni","Phyllomys",0,0,0,0,0,NA,0,0,0,0,215393,"Echimyidae","Rodentia",298.33,0,"Yes",-17.801667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,2.47469692811683,-41.0000000000001,-20.0127119247471,NA,"Wild","Euarchontoglires"
"4896","Phyllomys sulinus","sulinus","Phyllomys",1,3,1,1,0,3,1,0.333,0,1,1061095,"Echimyidae","Rodentia",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,NA,"Wild","Euarchontoglires"
"4897","Phyllomys thomasi","thomasi","Phyllomys",0,0,0,0,0,NA,0,0,0,0,3609810,"Echimyidae","Rodentia",502.14,1,"Yes",16.61,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,2.7008248182422,-44.9999999999994,-23.0037047626265,NA,"Wild","Euarchontoglires"
"4898","Phyllomys unicolor","unicolor","Phyllomys",1,3,1,1,0,14,1,0.071,0,0,215391,"Echimyidae","Rodentia",439,1,"Yes",NA,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,2.64246452024212,NA,NA,NA,"Wild","Euarchontoglires"
"4899","Phyllonycteris aphylla","aphylla","Phyllonycteris",0,0,0,0,0,NA,0,0,0,0,546391,"Phyllostomidae","Chiroptera",14.15,1,"Yes",18.433001,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.15075643986031,-77,18.0113479632783,NA,"Wild","Laurasiatheria"
"4900","Phyllonycteris major","major","Phyllonycteris",2,92,2,1,0,33,2,0.061,2,0,3613604,"Phyllostomidae","Chiroptera",14.15,0,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,1.15075643986031,NA,NA,NA,"Wild","Laurasiatheria"
"4901","Phyllonycteris obtusa","obtusa","Phyllonycteris",0,0,0,0,0,NA,0,0,0,0,50391,"Phyllostomidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Laurasiatheria"
"4902","Phyllonycteris poeyi","poeyi","Phyllonycteris",9,69,8,9,0,14,5,0.357,4,0,1066076,"Phyllostomidae","Chiroptera",15.36,2,"Yes",19.28333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.778151250383644,1.18639121569549,-73.0141576190385,19.3036716184165,NA,"Wild","Laurasiatheria"
"4903","Phyllops falcatus","falcatus","Phyllops",5,51,5,5,0,18,4,0.222,2,0,1066070,"Phyllostomidae","Chiroptera",20.91,1,"Yes",18.433331,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,1.32035403281767,-70.9999999999999,18.5092971585219,NA,"Wild","Laurasiatheria"
"4904","Phyllops vetus","vetus","Phyllops",2,57,2,1,0,20,1,0.05,1,0,7656384,"Phyllostomidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,NA,"Wild","Laurasiatheria"
"4905","Phyllostomus discolor","discolor","Phyllostomus",133,2065,85,125,2,44,24,0.545,62,8,459982,"Phyllostomidae","Chiroptera",34.13,1,"Yes",9.016667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38021124171161,1.39794000867204,1.53313628827864,-75.581805316939,9.59891058362506,NA,"Wild","Laurasiatheria"
"4906","Phyllostomus elongatus","elongatus","Phyllostomus",11,105,9,10,0,31,7,0.226,4,0,1011474,"Phyllostomidae","Chiroptera",40.43,1,"Yes",3.51,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.903089986991944,1.60670374133367,-72.9217045645104,1.67690286979295,NA,"Wild","Laurasiatheria"
"4907","Phyllostomus hastatus","hastatus","Phyllostomus",104,3112,73,100,2,55,31,0.564,63,4,761775,"Phyllostomidae","Chiroptera",87.21,1,"Yes",5.35,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49136169383427,1.50514997831991,1.94056628649009,-71.1784731586362,5.83246053464064,NA,"Wild","Laurasiatheria"
"4908","Phyllostomus latifolius","latifolius","Phyllostomus",3,133,3,3,0,23,2,0.087,1,0,860216,"Phyllostomidae","Chiroptera",134,1,"Yes",3.5166665,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,2.12710479836481,-72.3336043520963,1.6677189483885,NA,"Wild","Laurasiatheria"
"4909","Phyllostomus spiculatus","spiculatus","Phyllostomus",1,13,1,1,0,13,1,0.077,1,0,7656378,"Phyllostomidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,NA,"Wild","Laurasiatheria"
"4910","Phyllotis alisosiensis","alisosiensis","Phyllotis",0,0,0,0,0,NA,0,0,0,0,898287,"Cricetidae","Rodentia",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,"sibling_higher","Wild","Euarchontoglires"
"4911","Phyllotis amicus","amicus","Phyllotis",3,94,3,3,0,23,3,0.13,2,0,739495,"Cricetidae","Rodentia",20.2,1,"Yes",-11.9,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,1.30535136944662,-77.6493803763623,-9.72005749156889,"sibling_higher","Wild","Euarchontoglires"
"4912","Phyllotis andium","andium","Phyllotis",9,134,8,6,3,28,6,0.214,5,2,739493,"Cricetidae","Rodentia",53,1,"Yes",-8.766666,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.845098040014257,1.72427586960079,-77.6635796078905,-7.24176628424253,"sibling_higher","Wild","Euarchontoglires"
"4913","Phyllotis anitae","anitae","Phyllotis",0,0,0,0,0,NA,0,0,0,0,138443,"Cricetidae","Rodentia",NA,NA,"Yes",-26.924999,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,-65,-27,"sibling_higher","Wild","Euarchontoglires"
"4914","Phyllotis bonariensis","bonariensis","Phyllotis",1,2,1,1,0,3,1,0.333,0,1,898083,"Cricetidae","Rodentia",42.5,1,"Yes",-38.06486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.62838893005031,-63,-39,"sibling_higher","Wild","Euarchontoglires"
"4915","Phyllotis caprinus","caprinus","Phyllotis",0,0,0,0,0,NA,0,0,0,0,3608343,"Cricetidae","Rodentia",50.8,1,"Yes",-21.45,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.70586371228392,-65,-21.0301861422566,"sibling_higher","Wild","Euarchontoglires"
"4916","Phyllotis darwini","darwini","Phyllotis",101,2752,61,97,3,58,31,0.534,68,5,91085,"Cricetidae","Rodentia",50.83,1,"Yes",-33.365762,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49136169383427,1.50514997831991,1.7061201097027,-68.2178122429283,-28.6924487445484,"sibling_higher","Wild","Euarchontoglires"
"4917","Phyllotis definitus","definitus","Phyllotis",1,1,1,0,1,3,1,0.333,0,1,3608349,"Cricetidae","Rodentia",89,1,"Yes",-9.50763,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.94939000664491,-78.0000000000001,-9.0013823430766,"sibling_higher","Wild","Euarchontoglires"
"4918","Phyllotis gerbillus","gerbillus","Phyllotis",0,0,0,0,0,NA,0,0,0,0,898077,"Cricetidae","Rodentia",NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,"sibling_higher","Wild","Euarchontoglires"
"4919","Phyllotis haggardi","haggardi","Phyllotis",1,8,1,1,0,5,1,0.2,0,0,3608346,"Cricetidae","Rodentia",42.5,1,"Yes",-0.872967,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.62838893005031,-79,-1.0013724856488,"sibling_higher","Wild","Euarchontoglires"
"4920","Phyllotis limatus","limatus","Phyllotis",6,184,6,6,0,23,4,0.174,4,0,739492,"Cricetidae","Rodentia",48.29,0,"Yes",-16.393,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,1.68385720540035,-69.9946587058296,-17.0187000276565,"sibling_higher","Wild","Euarchontoglires"
"4921","Phyllotis magister","magister","Phyllotis",2,6,2,1,1,22,1,0.045,0,1,739490,"Cricetidae","Rodentia",68.5,1,"Yes",-17.45276,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.83569057149243,-70.3311120357286,-16.3425672439224,"sibling_higher","Wild","Euarchontoglires"
"4922","Phyllotis osgoodi","osgoodi","Phyllotis",0,0,0,0,0,NA,0,0,0,0,739499,"Cricetidae","Rodentia",45.1,1,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.65417654187796,NA,NA,"sibling_higher","Wild","Euarchontoglires"
"4923","Phyllotis pearsoni","pearsoni","Phyllotis",1,1,1,0,1,3,1,0.333,0,1,602576,"Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,"sibling_higher","Wild","Euarchontoglires"
"4924","Phyllotis stenops","stenops","Phyllotis",0,0,0,0,0,NA,0,0,0,0,6144796,"Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,"sibling_higher","Wild","Euarchontoglires"
"4925","Phyllotis wolffsohni","wolffsohni","Phyllotis",1,2,1,0,0,6,1,0.167,0,0,113707,"Cricetidae","Rodentia",42.5,1,"Yes",-17.51667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.62838893005031,-65.3941152550097,-19.4546096405312,"sibling_higher","Wild","Euarchontoglires"
"4926","Physeter catodon","catodon","Physeter",829,30559,262,774,31,84,87,1.036,576,9,276851,"Physeteridae","Artiodactyla",14025000,1,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93951925261862,1.94448267215017,7.1469028699282,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"4927","Piliocolobus bouvieri","bouvieri","Piliocolobus",1,1,1,1,0,7,1,0.143,0,0,6145121,"Cercopithecidae","Primates",NA,NA,"Yes",NA,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,NA,"Wild","Euarchontoglires"
"4928","Piliocolobus epieni","epieni","Piliocolobus",2,16,2,1,1,6,1,0.167,1,0,6145122,"Cercopithecidae","Primates",NA,NA,"Yes",NA,"Critically Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,NA,"Wild","Euarchontoglires"
"4929","Piliocolobus foai","foai","Piliocolobus",0,0,0,0,0,NA,0,0,0,0,1013930,"Cercopithecidae","Primates",8591.69,0,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,3.93407859869554,NA,NA,NA,"Wild","Euarchontoglires"
"4930","Piliocolobus gordonorum","gordonorum","Piliocolobus",1,52,1,1,0,20,1,0.05,1,0,1013949,"Cercopithecidae","Primates",8591.69,0,"Yes",-7.743651,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,3.93407859869554,37,-7,NA,"Wild","Euarchontoglires"
"4931","Piliocolobus kirkii","kirkii","Piliocolobus",2,15,2,2,0,12,2,0.167,1,1,1013935,"Cercopithecidae","Primates",7158.29,1,"Yes",-6.2751,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,3.85480928875202,39.0000000000001,-6.00367070585999,NA,"Wild","Euarchontoglires"
"4932","Piliocolobus lulindicus","lulindicus","Piliocolobus",0,0,0,0,0,NA,0,0,0,0,7655037,"Cercopithecidae","Primates",NA,NA,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Euarchontoglires"
"4933","Piliocolobus oustaleti","oustaleti","Piliocolobus",0,0,0,0,0,NA,0,0,0,0,6145123,"Cercopithecidae","Primates",NA,NA,"Yes",2.58,"Vulnerable","food_animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,19.6661238563323,3.66884015003933,NA,"Wild","Euarchontoglires"
"4934","Piliocolobus parmentieri","parmentieri","Piliocolobus",0,0,0,0,0,NA,0,0,0,0,6145124,"Cercopithecidae","Primates",NA,NA,"Yes",0.52941,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,25,1,NA,"Wild","Euarchontoglires"
"4935","Piliocolobus pennantii","pennantii","Piliocolobus",0,0,0,0,0,NA,0,0,0,0,437216,"Cercopithecidae","Primates",10896,1,"Yes",0.5,"Critically Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,4.03726709456871,30,1.00015234351658,NA,"Wild","Euarchontoglires"
"4936","Piliocolobus preussi","preussi","Piliocolobus",4,27,4,4,0,19,3,0.158,2,1,437219,"Cercopithecidae","Primates",8865.71,1,"Yes",NA,"Critically Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,3.94771352129452,NA,NA,NA,"Wild","Euarchontoglires"
"4937","Piliocolobus rufomitratus","rufomitratus","Piliocolobus",7,193,7,7,0,25,6,0.24,4,2,1013945,"Cercopithecidae","Primates",8030.75,1,"Yes",-1.959119,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.845098040014257,3.90475610638095,40.3336043520963,-1.66771894838851,NA,"Wild","Euarchontoglires"
"4938","Piliocolobus semlikiensis","semlikiensis","Piliocolobus",0,0,0,0,0,NA,0,0,0,0,6145125,"Cercopithecidae","Primates",NA,NA,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Euarchontoglires"
