species,median_lat
Cistugo seabrae,-28.90006
Civettictis civetta,-9.68
Cloeotis percivali,-15.319252
Clyomys laticeps,-16.676527999999998
Coccymys ruemmleri,-5.111293344742297
Coccymys shawmayeri,-5.5654
Coelops frithii,22.589706
Coelops robinsoni,13.6631
Coendou bicolor,-9.3
Coendou prehensilis,3.703
Coendou rothschildi,9.15
Coendou sanctaemartae,10.369132
Coendou speratus,-8.610057
Coleura afra,-3.61
Coleura kibomalandy,-12.9883
Coleura seychellensis,-4.48
Colobus polykomos,5.5379305
Colobus vellerosus,9.0072
Colomys goslingi,0.25
Condylura cristata,43.698384000000004
Conepatus chinga,-32.134864
Conepatus chorensis,-16
Conepatus humboldtii,-42.2
Conepatus proteus,-31
Conepatus rex,-15.95
Conepatus semistriatus,16.425
Congosorex phillipsorum,-7.75439
Congosorex verheyeni,3.919
Conilurus albipes,-37.03
Conilurus penicillatus,-11.34201
Connochaetes gnou,-28.507823000000002
Cormocyon copei,44.666668
Cormocyon haydeni,43
Cormura brevirostris,4.333
Corynorhinus mexicanus,19.635614587396653
Corynorhinus rafinesquii,33.349819
Craseonycteris thonglongyai,14.253
Crateromys australis,10.35
Crateromys heaneyi,10.859
Crateromys schadenbergi,16.833401
Cratogeomys fulvescens,19.541667
Cratogeomys merriami,19.283333
Cratogeomys perotensis,19.541667
Cratogeomys planiceps,19.223333
Cremnomys cutchicus,15.31667
Cremohipparion matthewi,38.023
Cricetomys ansorgei,-6.8333
Cricetomys emini,0.5
Cricetomys gambianus,3.9167
Cricetomys kivuensis,-2.48
Cricetulus demetros,32.67
Cricetulus longicaudatus,45.26446
Cricetulus sokolovi,45.52223
Cricetus cricetus,50.65
Crocidura aleksandrisi,32.52
Crocidura allex,-3.149017
Crocidura andamanensis,12.5
Crocidura attenuata,29.29837
Crocidura attila,2.98333
Crocidura baileyi,13.26
Crocidura baluensis,6.0801
Crocidura batesi,-2.00915
Crocidura beatus,9.1125
Crocidura beccarii,-1.70639
Crocidura bicolor,-7.599162499999999
Crocidura bottegi,5.183333
Crocidura bottegoides,7.916667
Crocidura brunnea,-7.22712
Crocidura buettikoferi,7.835
Crocidura caliginea,0.7894
Crocidura canariensis,28.610001
Crocidura coreae,37.291111
Crocidura crenata,-2.283
Crocidura crossei,7.82
Crocidura cyanea,-25.3
Crocidura denti,0.7967
Crocidura desperata,-8.4
Crocidura dolichura,0.3234
Crocidura douceti,8.3
Crocidura dracula,22.35
Crocidura dsinezumi,36.034355000000005
Crocidura elgonius,-5.066667
Crocidura elongata,-2.48876
Crocidura erica,-12.39529
Crocidura fischeri,-1.466667
Crocidura flavescens,0.15
Crocidura floweri,30.970999499999998
Crocidura foxi,8.992555
Crocidura fuliginosa,6.0801
Crocidura fulvastra,10.133333
Crocidura fumosa,-0.3581
Crocidura fuscomurina,8.9265
Crocidura glassi,7.916667
Crocidura goliath,-0.683
Crocidura gracilipes,0.7249
Crocidura grandiceps,8.3
Crocidura grassei,-2.283
Crocidura greenwoodi,3.18
Crocidura hildegardeae,-7.80825
Crocidura hilliana,17.5611
Crocidura hirta,-10.283333
Crocidura hispida,11.116667
Crocidura horsfieldii,26.34778
Crocidura hutanis,3.565972
Crocidura ichnusae,40.70096
Crocidura ilensis,29
Crocidura jacksoni,-0.93333
Crocidura jenkinsi,11.116667
Crocidura jouvenetae,6.88
Crocidura katinka,32.67
Crocidura kivuana,-3.368783
Crocidura lamottei,10.06
Crocidura lanosa,-2.50147
Crocidura lasiura,37.5652671945042
Crocidura latona,0.294
Crocidura lea,-1.29255
Crocidura lepidura,-1.70853
Crocidura leucodon,48.33682
Crocidura leucogenys,30.898562
Crocidura levicula,-2.88421
Crocidura longipes,11.57
Crocidura lucina,7.916667
Crocidura ludia,0.294
Crocidura luna,-10.74453
Crocidura lusitania,16.285
Crocidura macarthuri,-1.85
Crocidura macmillani,7.25
Crocidura macowi,2.28062
Crocidura malayana,3.3249
Crocidura manni,11.340792
Crocidura maquassiensis,-23.99484
Crocidura mariquensis,-17.83
Crocidura maurisca,-0.2785
Crocidura maxi,-6.762062
Crocidura mdumai,-3.14255
Crocidura mindorus,13.28974
Crocidura miya,7.3
Crocidura monax,-3.240067
Crocidura monticola,-6.73094
Crocidura montis,1.06351
Crocidura munissii,-6.916666
Crocidura muricauda,8.3
Crocidura musseri,-1.30934
Crocidura mutesae,3.0044
Crocidura nana,5.303167
Crocidura nanilla,7.85
