"","species","family","order","id","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","domestication","status","x","y"
"84","Aethomys thomasi","Muridae","Rodentia",3608716,84.69,2,"Yes",-11.875,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",16.3336288965446,-12.0223050199193
"85","Afrochoerus nicoli","Suidae","Artiodactyla",7655719,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"86","Ailuropoda melanoleuca","Ursidae","Carnivora",872573,108400,1,NA,NA,"Vulnerable","food_human","pets_display_animals_horticulture","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"87","Ailurops furvus","Phalangeridae","Diprotodontia",7657218,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"88","Ailurops melanotis","Phalangeridae","Diprotodontia",3606934,10000,0,"Yes",NA,"Critically Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"89","Ailurops ursinus","Phalangeridae","Diprotodontia",193425,10000,1,"Yes",1.40516,"Vulnerable","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",122.427874178624,-1.86260510123351
"90","Ailurus fulgens","Ailuridae","Carnivora",872562,4900,1,NA,NA,"Endangered","food_human","medicine","pets_display_animals_horticulture","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"91","Ailurus ochraceus","Ailuridae","Carnivora",7655926,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"92","Akodon aerosus","Cricetidae","Rodentia",421013,60,1,"Yes",-13.100533,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-73.03037165202,-9.86142397653448
"93","Akodon affinis","Cricetidae","Rodentia",170298,24.9,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA
