"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5"
"120","Akodon_pervalens","pervalens","Akodon",0,0,0,0,0,NA,0,0,0,0
"121","Akodon_philipmyersi","philipmyersi","Akodon",1,9,1,1,0,10,1,0.1,0,0
"122","Akodon_polopi","polopi","Akodon",2,40,1,2,0,11,2,0.182,1,0
"123","Akodon_reigi","reigi","Akodon",2,16,2,2,0,8,2,0.25,0,1
"124","Akodon_sanctipaulensis","sanctipaulensis","Akodon",2,64,2,2,0,31,2,0.065,2,0
"125","Akodon_serrensis","serrensis","Akodon",14,280,9,13,1,23,9,0.391,9,0
"126","Akodon_siberiae","siberiae","Akodon",0,0,0,0,0,NA,0,0,0,0
"127","Akodon_simulator","simulator","Akodon",11,120,10,11,0,31,6,0.194,4,0
"128","Akodon_surdus","surdus","Akodon",1,15,1,1,0,8,1,0.125,1,0
"129","Akodon_sylvanus","sylvanus","Akodon",1,37,1,1,0,11,1,0.091,1,0
"130","Akodon_tartareus","tartareus","Akodon",0,0,0,0,0,NA,0,0,0,0
"131","Akodon_toba","toba","Akodon",6,50,6,5,0,16,3,0.188,2,2
"132","Akodon_torques","torques","Akodon",2,5,2,2,0,5,1,0.2,0,1
"133","Akodon_urichi","urichi","Akodon",2,22,2,2,0,50,2,0.04,1,0
"134","Akodon_varius","varius","Akodon",6,85,5,6,0,19,5,0.263,3,0
"135","Akodon_viridescens","viridescens","Akodon",1,3,1,1,0,10,1,0.1,0,0
"136","Alcelaphus_bakeri","bakeri","Alcelaphus",0,0,0,0,0,NA,0,0,0,0
"137","Alcelaphus_caama","caama","Alcelaphus",7,75,7,7,0,26,6,0.231,5,0
"138","Alcelaphus_howardi","howardi","Alcelaphus",0,0,0,0,0,NA,0,0,0,0
"139","Alcelaphus_kattwinkeli","kattwinkeli","Alcelaphus",2,63,2,2,0,26,2,0.077,1,0
"140","Alcelaphus_lichtensteini","lichtensteini","Alcelaphus",3,61,3,3,0,39,3,0.077,2,0
"141","Alcelaphus_tora","tora","Alcelaphus",0,0,0,0,0,NA,0,0,0,0
"142","Alces_americanus","americanus","Alces",77,774,48,74,3,41,15,0.366,24,7
"143","Alces_bedfordiae","bedfordiae","Alces",0,0,0,0,0,NA,0,0,0,0
"144","Aletocyon_multicuspus","multicuspus","Aletocyon",0,0,0,0,0,NA,0,0,0,0
"145","Alexandromys_mongolicus","mongolicus","Alexandromys",3,68,3,3,0,11,2,0.182,1,1
"146","Alexandromys_mujanensis","mujanensis","Alexandromys",2,6,2,2,0,6,1,0.167,0,0
"147","Alionycteris_paucidentata","paucidentata","Alionycteris",1,14,1,1,0,22,1,0.045,1,0
"148","Allactaga_balikunica","balikunica","Allactaga",0,0,0,0,0,NA,0,0,0,0
"149","Allactaga_bullata","bullata","Allactaga",0,0,0,0,0,NA,0,0,0,0
"150","Allactaga_euphratica","euphratica","Allactaga",11,114,6,9,2,53,6,0.113,5,1
"151","Allactaga_firouzi","firouzi","Allactaga",8,45,5,8,0,12,5,0.417,2,0
"152","Allactaga_hotsoni","hotsoni","Allactaga",3,13,3,3,0,12,1,0.083,1,0
"153","Allactaga_major","major","Allactaga",2,35,2,2,0,19,2,0.105,2,0
