"","Scientific","MSWFamilyLatin","BodyMass.Value","BodyMass.SpecLevel"
"466","Calcochloris obtusirostris","Chrysochloridae",24.05,1
"467","Calcochloris tytonis","Chrysochloridae",49.7,2
"468","Callicebus baptista","Pitheciidae",1011.32,0
"469","Callicebus barbarabrownae","Pitheciidae",1011.32,0
"470","Callicebus bernhardi","Pitheciidae",950,1
"471","Callicebus brunneus","Pitheciidae",992.41,1
"472","Callicebus caligatus","Pitheciidae",992.41,1
"473","Callicebus cinerascens","Pitheciidae",992.41,1
"474","Callicebus coimbrai","Pitheciidae",1011.32,0
"475","Callicebus cupreus","Pitheciidae",915,1
"476","Callicebus discolor","Pitheciidae",1005,1
"477","Callicebus donacophilus","Pitheciidae",795.01,1
"478","Callicebus dubius","Pitheciidae",992.41,1
"479","Callicebus hoffmannsi","Pitheciidae",992.41,1
"480","Callicebus lucifer","Pitheciidae",1500,1
"481","Callicebus lugens","Pitheciidae",1011.32,0
"482","Callicebus medemi","Pitheciidae",1205,1
"483","Callicebus melanochir","Pitheciidae",1370,1
"484","Callicebus modestus","Pitheciidae",992.41,1
"485","Callicebus moloch","Pitheciidae",854.73,1
"486","Callicebus nigrifrons","Pitheciidae",1011.32,0
"487","Callicebus oenanthe","Pitheciidae",992.41,1
"488","Callicebus olallae","Pitheciidae",992.41,1
"489","Callicebus ornatus","Pitheciidae",1170.5,1
"490","Callicebus pallescens","Pitheciidae",800,1
"491","Callicebus personatus","Pitheciidae",1349.99,1
"492","Callicebus purinus","Pitheciidae",1011.32,0
"493","Callicebus regulus","Pitheciidae",1011.32,0
"494","Callicebus stephennashi","Pitheciidae",690,1
"495","Callicebus torquatus","Pitheciidae",1050,1
"496","Callimico goeldii","Cebidae",480,1
"497","Callistomys pictus","Echimyidae",518.99,1
"498","Callithrix acariensis","Cebidae",335.61,0
"499","Callithrix argentata","Cebidae",440,1
"500","Callithrix aurita","Cebidae",342,1
"501","Callithrix chrysoleuca","Cebidae",335.61,0
"502","Callithrix emiliae","Cebidae",309.58,1
"503","Callithrix flaviceps","Cebidae",342,1
"504","Callithrix geoffroyi","Cebidae",342,1
"505","Callithrix humeralifera","Cebidae",374.99,1
"506","Callithrix humilis","Cebidae",335.61,0
"507","Callithrix intermedia","Cebidae",335.61,0
"508","Callithrix jacchus","Cebidae",292,1
"509","Callithrix kuhlii","Cebidae",342,1
"510","Callithrix leucippe","Cebidae",335.61,0
"511","Callithrix manicorensis","Cebidae",335.61,0
"512","Callithrix marcai","Cebidae",335.61,0
"513","Callithrix mauesi","Cebidae",443.79,1
"514","Callithrix melanura","Cebidae",335.61,0
"515","Callithrix nigriceps","Cebidae",401.12,1
"516","Callithrix penicillata","Cebidae",342,1
"517","Callithrix pygmaea","Cebidae",125,1
"518","Callithrix saterei","Cebidae",441.25,1
"519","Callorhinus ursinus","Otariidae",45133,1
"520","Callosciurus adamsi","Sciuridae",134.5,1
"521","Callosciurus albescens","Sciuridae",220.89,2
"522","Callosciurus baluensis","Sciuridae",356,1
"523","Callosciurus caniceps","Sciuridae",257,1
"524","Callosciurus erythraeus","Sciuridae",280,1
"525","Callosciurus finlaysonii","Sciuridae",278,1
"526","Callosciurus inornatus","Sciuridae",325,1
"527","Callosciurus melanogaster","Sciuridae",278,1
"528","Callosciurus nigrovittatus","Sciuridae",202,1
"529","Callosciurus notatus","Sciuridae",197.5,1
